TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,23083,7.041667,53.625,1,1960 - 1987,0.0992,0.0024
Impatiens glandulifera,3063,23084,7.125,53.625,1,1960 - 1987,0.0813,0.002
Impatiens glandulifera,3063,23091,7.208333,53.675,1,1960 - 1987,0.0688,0.0017
Impatiens glandulifera,3063,23092,7.291667,53.675,1,1960 - 1987,0.1313,0.0031
Impatiens glandulifera,3063,23093,7.208333,53.625,1,1960 - 1987,0.2851,0.0061
Impatiens glandulifera,3063,23094,7.291667,53.625,1,1960 - 1987,0.3256,0.0067
Impatiens glandulifera,3063,23101,7.375,53.675,1,1960 - 1987,0.2258,0.005
Impatiens glandulifera,3063,23102,7.458333,53.675,1,1960 - 1987,0.2502,0.0055
Impatiens glandulifera,3063,23103,7.375,53.625,1,1960 - 1987,0.3138,0.0065
Impatiens glandulifera,3063,23104,7.458333,53.625,1,1960 - 1987,0.3159,0.0066
Impatiens glandulifera,3063,23111,7.541667,53.675,1,1960 - 1987,0.217,0.0048
Impatiens glandulifera,3063,23112,7.625,53.675,1,1960 - 1987,0.3323,0.0068
Impatiens glandulifera,3063,23113,7.541667,53.625,1,1960 - 1987,0.3725,0.0074
Impatiens glandulifera,3063,23114,7.625,53.625,1,1960 - 1987,0.3481,0.0071
Impatiens glandulifera,3063,23121,7.708333,53.675,1,1960 - 1987,0.3508,0.0071
Impatiens glandulifera,3063,23122,7.791667,53.675,1,1960 - 1987,0.3337,0.0068
Impatiens glandulifera,3063,23123,7.708333,53.625,1,1960 - 1987,0.3688,0.0073
Impatiens glandulifera,3063,23124,7.791667,53.625,1,1960 - 1987,0.3553,0.0072
Impatiens glandulifera,3063,23131,7.875,53.675,1,1960 - 1987,0.3406,0.0069
Impatiens glandulifera,3063,23132,7.958333,53.675,1,1960 - 1987,0.3658,0.0073
Impatiens glandulifera,3063,23133,7.875,53.625,1,1960 - 1987,0.3591,0.0072
Impatiens glandulifera,3063,23134,7.958333,53.625,1,1960 - 1987,0.3889,0.0076
Impatiens glandulifera,3063,23141,8.041667,53.675,1,1960 - 1987,0.24,0.0053
Impatiens glandulifera,3063,23142,8.125,53.675,1,1960 - 1987,0.3062,0.0064
Impatiens glandulifera,3063,23143,8.041667,53.625,1,1960 - 1987,0.4077,0.0078
Impatiens glandulifera,3063,23144,8.125,53.625,1,1960 - 1987,0.3662,0.0073
Impatiens glandulifera,3063,23151,8.208333,53.675,1,1960 - 1987,0.162,0.0037
Impatiens glandulifera,3063,23152,8.291667,53.675,1,1960 - 1987,0.1609,0.0037
Impatiens glandulifera,3063,23153,8.208333,53.625,1,1960 - 1987,0.1957,0.0044
Impatiens glandulifera,3063,23154,8.291667,53.625,1,1960 - 1987,0.1769,0.004
Impatiens glandulifera,3063,23161,8.375,53.675,1,1960 - 1987,0.3032,0.0064
Impatiens glandulifera,3063,23162,8.458333,53.675,1,1960 - 1987,0.2063,0.0046
Impatiens glandulifera,3063,23163,8.375,53.625,1,1960 - 1987,0.2238,0.005
Impatiens glandulifera,3063,23164,8.458333,53.625,1,1960 - 1987,0.2627,0.0057
Impatiens glandulifera,3063,23171,8.541667,53.675,1,1960 - 1987,0.4345,0.0081
Impatiens glandulifera,3063,23172,8.625,53.675,1,1960 - 1987,0.3208,0.0066
Impatiens glandulifera,3063,23173,8.541667,53.625,1,1960 - 1987,0.3794,0.0075
Impatiens glandulifera,3063,23174,8.625,53.625,1,1960 - 1987,0.3177,0.0066
Impatiens glandulifera,3063,23181,8.708333,53.675,1,1960 - 1987,0.2637,0.0057
Impatiens glandulifera,3063,23182,8.791667,53.675,1,1960 - 1987,0.3022,0.0063
Impatiens glandulifera,3063,23183,8.708333,53.625,1,1960 - 1987,0.2823,0.006
Impatiens glandulifera,3063,23184,8.791667,53.625,1,1960 - 1987,0.2675,0.0058
Impatiens glandulifera,3063,23191,8.875,53.675,1,1960 - 1987,0.3333,0.0068
Impatiens glandulifera,3063,23192,8.958333,53.675,1,1960 - 1987,0.312,0.0065
Impatiens glandulifera,3063,23193,8.875,53.625,1,1960 - 1987,0.2707,0.0058
Impatiens glandulifera,3063,23194,8.958333,53.625,1,1960 - 1987,0.309,0.0065
