Taxon_deutsch,Taxon_wissensch
Wechselblatt-Wasserpest,Lagarosiphon major
,Lamium galeobdolon argentatum
,Lamyctes emarginatus
Japanische Lärche,Larix kaempferi
,Lasioglossum malachurum
Breitblättrige Platterbse,Lathyrus latifolius
,Lathyrus latifolius latifolius
Gartenwicke,Lathyrus odoratus
,Latridius minutus
Zierliche Wasserlinse,Lemna minuta
Rote Wasserlinse,Lemna turionifera
,Leonurus quinquelobatus
Dichtblütige Kresse,Lepidium densiflorum
zweiknotiger Krähenfuß,Lepidium didymum
Pfeilkresse,Lepidium draba
Verschiedenblättrige Kresse,Lepidium heterophyllum
Durchwachsenblättrige Kresse,Lepidium perfoliatum
Virginische Kresse,Lepidium virginicum
Gemeiner Sonnenbarsch,Lepomis gibbosus
Kartoffelkäfer,Leptinotarsa decemlineata
Amerikanische Kiefernwanze,Leptoglossus occidentalis
Feldhase,Lepus europaeus
Schneehase,Lepus timidus
,Lepus timidus varronis
,Leratiomyces ceres
Spätblühende Margerite,Leucanthemella serotina
Garten-Margerite,Leucanthemum maximum
Gelber Faltenschirmling,Leucocoprinus birnbaumii
Sommer-Knotenblume,Leucojum aestivum
Maggikraut,Levisticum officinale
Breitblatt-Liguster,Ligustrum ovalifolium
,Ligustrum ovalifolium ovalifolium
,Limnomysis benedeni
Ginsterblättriges Leinkraut,Linaria genistifolia
Dalmatinisches Leinkraut,Linaria dalmatica
Purpur-Leinkraut,Linaria purpurea
Großes Büchsenkraut,Lindernia dubia
Österreichischer Lein,Linum austriacum
Amerikanischer Ochsenfrosch,Lithobates catesbeianus
Flußsteinkleber,Lithoglyphus naticoides
Strand-Silberkraut,Lobularia maritima
,Lobularia maritima maritima
Italienisches Raigras,Lolium multiflorum
Henry-Heckenkirsche,Lonicera acuminata
Tataren-Heckenkirsche,Lonicera tatarica
Einjähriges-Silberblatt,Lunaria annua
Einjähriges Silberblatt,Lunaria annua annua
,Lunularia cruciata
Staudenlupine,Lupinus polyphyllus
,Lupinus regalis
,Lupinus × regalis
Großer Feuerfalter,Lycaena dispar
,Lycaena dispar batava
,Lycaena dispar rutilus
,Lycaena dispar carueli
Gewöhnlicher Bocksdorn,Lycium barbarum
Chinesischer Bocksdorn,Lycium chinense
